,Team,Game,Date,Home,Opponent,WINorLOSS,OPTotalNumberPossession,OPOffensiveRating,OPDefensiveRating,OPPDelta,FavDelta,defensiverating,TotalNumberPossession,offensiverating,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
11130,BOS,11,11/6/2017,Away,ATL,W,98,109.18,112.24,-3.06,25.29,89.53,95.8,114.82,110,107,39,81,0.481,14,36,0.389,18,22,0.818,7,42,28,3,3,13,21,39,81,0.481,13,26,0.5,16,20,0.8,5,36,24,8,4,14,22
12107,BOS,12,11/8/2017,Home,LAL,W,102.2,93.93,104.7,-10.76,-12.25,111.88,107.4,99.63,107,96,38,98,0.388,7,29,0.241,24,31,0.774,16,48,20,8,6,13,20,37,85,0.435,5,24,0.208,17,23,0.739,12,48,16,8,8,20,30
1391,BOS,13,11/10/2017,Home,CHO,W,100.2,86.83,89.82,-2.99,-20.81,112.64,98,91.84,90,87,30,84,0.357,9,31,0.29,21,25,0.84,9,49,15,6,5,13,26,31,80,0.388,6,22,0.273,19,33,0.576,7,47,20,5,7,14,21
1491,BOS,14,11/12/2017,Home,TOR,W,89.2,105.38,106.5,-1.12,1.92,99.57,93.6,101.5,95,94,35,87,0.402,10,26,0.385,15,19,0.789,15,46,24,9,2,14,18,32,69,0.464,10,24,0.417,20,23,0.87,6,36,18,8,8,17,20
1591,BOS,15,11/14/2017,Away,BRK,W,99.4,102.62,109.66,-7.04,7.27,99.8,101.8,107.07,109,102,39,86,0.453,9,27,0.333,22,27,0.815,9,49,15,8,3,14,14,39,88,0.443,14,35,0.4,10,16,0.625,9,43,26,4,3,14,24
1691,BOS,16,11/16/2017,Home,GSW,W,97.6,90.16,94.26,-4.1,-26.12,116.14,102.2,90.02,92,88,26,79,0.329,7,32,0.219,33,38,0.868,7,52,15,8,5,15,15,33,82,0.402,10,32,0.313,12,19,0.632,7,47,22,9,10,15,24
1791,BOS,17,11/18/2017,Away,ATL,W,93,106.45,118.28,-11.83,17.61,96.97,96,114.58,110,99,39,82,0.476,16,34,0.471,16,20,0.8,9,41,21,9,6,15,22,37,78,0.474,9,24,0.375,16,20,0.8,6,35,24,7,1,13,19
1891,BOS,18,11/20/2017,Away,DAL,W,107,95.33,102.8,-7.48,-0.93,104.31,106.4,103.38,110,102,38,84,0.452,13,36,0.361,21,26,0.808,5,53,24,8,4,17,24,39,96,0.406,7,33,0.212,17,20,0.85,8,45,18,7,3,11,22
1991,BOS,19,11/22/2017,Away,MIA,L,96.4,107.88,101.66,6.22,4.19,95,98.8,99.19,98,104,35,84,0.417,9,26,0.346,19,27,0.704,7,37,19,11,4,11,19,40,81,0.494,10,28,0.357,14,16,0.875,7,48,20,3,4,16,22
2091,BOS,20,11/24/2017,Home,ORL,W,98.6,104.46,119.68,-15.21,29.71,93.2,96,122.92,118,103,42,91,0.462,17,42,0.405,17,25,0.68,13,46,27,6,10,8,20,41,95,0.432,9,24,0.375,12,19,0.632,16,51,21,6,4,12,16
21130,BOS,21,11/25/2017,Away,IND,W,92,106.52,117.39,-10.87,19.87,95.51,93.6,115.38,108,98,45,80,0.563,10,25,0.4,8,9,0.889,4,30,22,8,4,14,13,38,78,0.487,7,23,0.304,15,15,1,10,36,20,9,2,18,14
22107,BOS,22,11/27/2017,Home,DET,L,94.2,125.27,114.65,10.62,28.34,82.54,97.4,110.88,108,118,40,77,0.519,16,33,0.485,12,21,0.571,5,36,27,2,4,17,23,44,85,0.518,11,25,0.44,19,23,0.826,8,40,26,8,2,8,19
2391,BOS,23,11/30/2017,Home,PHI,W,95.2,101.89,113.45,-11.55,13.53,98.97,96,112.5,108,97,40,79,0.506,12,29,0.414,16,20,0.8,7,40,25,7,7,16,20,35,84,0.417,16,32,0.5,11,18,0.611,15,45,24,11,1,19,22
2491,BOS,24,12/2/2017,Home,PHO,W,99.4,111.67,116.7,-5.03,38.28,84.86,94.2,123.14,116,111,42,80,0.525,14,31,0.452,18,23,0.783,4,31,32,8,6,9,16,48,101,0.475,7,24,0.292,8,11,0.727,16,47,24,8,1,10,19
2591,BOS,25,12/4/2017,Home,MIL,W,93.6,106.84,118.59,-11.75,29.58,91.6,91.6,121.18,111,100,43,78,0.551,10,22,0.455,15,19,0.789,8,45,25,5,3,14,20,35,78,0.449,9,21,0.429,21,24,0.875,3,28,17,6,2,9,17
2691,BOS,26,12/6/2017,Home,DAL,W,95.8,93.95,101.25,-7.31,-5.19,106.44,95.8,101.25,97,90,36,87,0.414,12,34,0.353,13,17,0.765,9,53,25,8,8,11,15,34,86,0.395,9,28,0.321,13,17,0.765,6,45,19,7,5,9,12
2791,BOS,27,12/8/2017,Away,SAS,L,89.6,117.19,113.84,3.35,21.53,88.38,92.8,109.91,102,105,38,83,0.458,11,38,0.289,15,17,0.882,11,39,14,10,0,14,22,38,81,0.469,8,27,0.296,21,24,0.875,14,46,16,6,3,13,14
2891,BOS,28,12/10/2017,Away,DET,W,89.6,90.4,101.56,-11.16,-10.47,111.36,90.2,100.89,91,81,33,79,0.418,11,30,0.367,14,18,0.778,9,50,16,4,4,13,18,28,84,0.333,10,33,0.303,15,19,0.789,11,46,14,7,4,9,16
2991,BOS,29,12/11/2017,Away,CHI,L,89,121.35,95.51,25.84,6.05,85.74,92.6,91.79,85,108,33,83,0.398,10,40,0.25,9,14,0.643,11,46,22,2,2,15,19,39,81,0.481,12,29,0.414,18,25,0.72,10,46,23,9,3,8,18
3091,BOS,30,12/13/2017,Home,DEN,W,96.4,122.41,128.63,-6.22,44.34,82.71,97.6,127.05,124,118,47,79,0.595,11,25,0.44,19,24,0.792,4,30,29,10,7,13,20,45,91,0.495,9,28,0.321,19,26,0.731,20,48,22,8,4,15,20
31130,BOS,31,12/15/2017,Home,UTA,L,96.2,111.23,98.75,12.47,2.3,93.08,99.6,95.38,95,107,35,86,0.407,9,31,0.29,16,19,0.842,2,31,20,10,5,8,18,40,83,0.482,13,25,0.52,14,18,0.778,9,55,19,6,2,15,20
32107,BOS,32,12/16/2017,Away,MEM,W,88.8,104.73,114.86,-10.14,22.24,94.19,87.6,116.44,102,93,39,80,0.488,14,30,0.467,10,14,0.714,14,42,21,6,6,16,19,32,79,0.405,14,34,0.412,15,17,0.882,10,38,18,8,3,13,19
